1000001	1291544	5	P
1000001	1291543	4	P
1000311	1291545	4	P
1000001	1291545	4	P
1000311	1291546	5	P
1000377	1291544	5	P
1000001	1291552	5	P
1000001	1291553	5	P
1000002	1291545	5	P
1000002	1291553	5	P
1000002	1291552	5	P
1000704	1291546	5	P
1000704	1291553	5	P
1000002	1291555	5	P
1000704	1291554	4	P
1000704	1291556	5	P
1000002	1291557	5	P
1000704	1291558	5	P
1000704	1291559	5	P
1000704	1291560	5	P
1000704	1291561	5	P
1000704	1291562	5	P
1000002	1291543	5	P
1000002	1291562	5	P
1000001	1291561	5	P
1000704	1291563	5	P
1000704	1291564	4	P
1000002	1291561	4	P
1000704	1291565	5	P
1000704	1291566	5	P
1000559	1291543	5	P
1000559	1291561	5	P
1000559	1291545	4	P
1000559	1291552	5	P
1000559	1291557	4	P
1000704	1291568	5	P
1000704	1291569	4	P
1000001	1291565	4	P
1000001	1291562	4	P
1000166	1291555	5	P
1000166	1291557	4	P
1000001	1291571	4	P
1000001	1291572	4	P
1000559	1291572	4	P
1000559	1291571	4	P
1000559	1291544	4	P
1000704	1291573	4	P
1000704	1291574	None	P
1000704	1291575	None	P
1000704	1291576	4	P
1000704	1291577	5	P
1000704	1291578	4	P
1000704	1291579	5	P
1000001	1291580	4	P
1000704	1291581	4	P
1000704	1291582	4	P
1000704	1291583	5	P
1000001	1291584	4	P
1000704	1291585	4	P
1000704	1291586	5	P
1000704	1291587	4	P
1000377	1291588	5	P
1000377	1291571	5	P
1000377	1291572	5	P
1000377	1291552	5	P
1000585	1291561	5	P
1000641	1291555	4	P
1000001	1291818	4	P
1000503	1291543	5	P
1000001	1291828	5	P
1000024	1291829	5	P
1000311	1291828	5	P
1000117	1291830	4	P
1000117	1291831	4	P
1000148	1291832	5	P
1000117	1291832	5	P
1000117	1291584	4	P
1000148	1291835	4	P
1000148	1291552	4	P
1000148	1291544	4	P
1000117	1291839	5	P
1000117	1291840	5	P
1000001	1291839	5	P
1000117	1291841	5	P
1000117	1291842	5	P
1000117	1291843	5	P
1000117	1291844	4	P
1000117	1291845	5	P
1000117	1291846	4	P
1000116	1291839	5	P
1000116	1291843	5	P
1000117	1291852	5	P
1000001	1291847	4	P
1000117	1291853	5	P
1000117	1291857	5	P
1000001	1291857	5	P
1000001	1291858	5	P
1000116	1291545	5	P
1000116	1291829	5	P
1000116	1291857	5	P
1000377	1291561	4	P
1000002	1291858	5	P
1000559	1291857	5	P
1000559	1291832	5	P
1000559	1291584	4	P
1000559	1291579	5	P
1000559	1291577	4	P
1000001	1291832	5	P
1000311	1291877	4	P
1000311	1291878	3	P
1000311	1291832	5	P
1000641	1291561	3	P
1000117	1291858	5	P
1000117	1291829	4	P
1000117	1291561	4	P
1000117	1291936	5	P
1000117	1291937	4	P
1000117	1291875	5	P
1000732	1291936	4	P
1000732	1291566	None	P
1000732	1291976	None	P
1000704	1291877	5	P
1000117	1291989	5	P
1000001	1291976	4	P
1000311	1291879	5	P
1000057	1291557	5	P
1000739	1291990	5	P
1000057	1291991	5	P
1000001	1291992	5	P
1000001	1291879	4	P
1000001	1291577	4	P
1000152	1291875	5	P
1000152	1291877	5	P
1000152	1291856	4	P
1000152	1291832	5	P
1000152	1291581	4	P
1000152	1291582	5	P
1000001	1291841	5	P
1000464	1291879	5	P
1000464	1291832	5	P
1000001	1291999	4	P
1000311	1291999	3	P
1000232	1292000	5	P
1000232	1291841	5	P
1000212	1292001	3	P
1000705	1291841	5	P
1000705	1292000	5	P
1000705	1291999	5	P
1000705	1291832	5	P
1000705	1291877	5	P
1000705	1291875	5	P
1000705	1291879	5	P
1000705	1291990	5	P
1000705	1291856	3	P
1000179	1292000	3	P
1000205	1291877	5	P
1000001	1292047	5	P
1000001	1292048	4	P
1000750	1291823	4	P
1000001	1292049	4	P
1000205	1292049	5	P
1000205	1292048	5	P
1000205	1292047	5	P
1000205	1291990	5	P
1000205	1291561	5	P
1000001	1291936	4	P
1000205	1291878	4	P
1000001	1292050	3	P
1000750	1291546	5	P
1000001	1292052	5	P
1000001	1292055	4	P
1000002	1291546	5	P
1000002	1292055	5	P
1000002	1292052	5	P
1000641	1291546	None	P
1000362	1291561	5	P
1000362	1292052	5	P
1000750	1291878	4	P
1000311	1292055	5	P
1000311	1292052	5	P
1000311	1292047	5	P
1000311	1292049	5	P
1000311	1292048	None	P
1000750	1292048	4	P
1000179	1291564	4	P
1000193	1292052	5	P
1000096	1292060	5	P
1000096	1291832	5	P
1000613	1291989	5	P
1000096	1291841	4	P
1000096	1292065	4	P
1000001	1292061	4	P
1000001	1292063	4	P
1000001	1292062	4	P
1000001	1292067	5	P
1000002	1292067	5	P
1000610	1292055	5	P
1000096	1292067	4	P
1000246	1292052	5	P
1000096	1292000	5	P
1000096	1292206	5	P
1000096	1292207	5	P
1000096	1292208	5	P
1000760	1292209	None	P
1000760	1291858	4	P
1000001	1292208	5	P
1000117	1292208	5	P
1000117	1291878	2	P
1000117	1292210	4	P
1000117	1292211	4	P
1000002	1292208	5	P
1000362	1292213	5	P
1000152	1292052	5	P
1000179	1292212	4	P
1000096	1292214	5	P
1000096	1292215	5	P
1000001	1292214	4	P
1000311	1291840	3	P
1000096	1292216	4	P
1000311	1291847	5	P
1000768	1291828	5	P
1000096	1291828	5	P
1000096	1292217	5	P
1000001	1292218	4	P
1000096	1292220	5	P
1000096	1291875	5	P
1000096	1292223	5	P
1000096	1291545	5	P
1000096	1292222	4	P
1000096	1292224	5	P
1000096	1292225	5	P
1000001	1292226	None	P
1000001	1292222	5	P
1000205	1292211	4	P
1000096	1292226	5	P
1000096	1292228	4	P
1000205	1291832	5	P
1000096	1292229	5	P
1000096	1292230	5	P
1000768	1292047	4	P
1000768	1292048	4	P
1000768	1292049	3	P
1000768	1291877	5	P
1000311	1292217	3	P
1000771	1291546	5	P
1000002	1292212	3	P
1000002	1291875	5	P
1000002	1291847	5	P
1000002	1291828	5	P
1000002	1292063	5	F
1000771	1291562	5	P
1000771	1292052	5	P
1000096	1292233	5	P
1000771	1292063	5	P
1000060	1292234	5	P
1000148	1291840	5	P
1000096	1292260	5	P
1000704	1292222	5	P
1000704	1292262	5	P
1000704	1292260	4	P
1000096	1292262	5	P
1000096	1292264	5	P
1000096	1291839	5	P
1000005	1292233	5	P
1000005	1292262	5	P
1000005	1292222	5	P
1000005	1292229	4	P
1000770	1291875	4	P
1000002	1292264	3	P
1000005	1291875	4	P
1000096	1292064	4	P
1000005	1291879	4	P
1000005	1292049	4	P
1000042	1292267	3	P
1000005	1292047	4	P
1000005	1292048	4	P
1000096	1292268	5	P
1000005	1292226	4	P
1000005	1291828	3	P
1000005	1291549	4	P
1000042	1292269	None	P
1000005	1292001	4	P
1000117	1292264	4	P
1000096	1292270	5	P
1000042	1292271	None	P
